word,phonemes,label
foaie,start F,OH
racoviță,start R,AE
perfectaseră,start P EH R F EH K T AE,S
spovedise,start,S
tentam,start T EH N T AE,M
lipsitele,start L IH P S IH T EH L EH,stop
masturbatelor,start M AE,S
urâți,start UW,R
lubrifiai,start L,UW
iubea,start Y UW B EH,AE
declarase,start,D
procedat,start P R OH CH EH D AE,T
acum,start AE K UW M,stop
copleșitoarele,start K OH P L EH,SH
memorizase,start M EH,M
bulgara,start B,UW
fumau,start F UW,M
lindic,start L IH N,D
diminuai,start D IH M IH,N
primisem,start P R IH,M
citiți,start CH,IH
tați,start,T
paradoxul,start P AE R,AE
alfabetul,start AE,L
orientară,start OH R IH EH N,T
întăriră,start IX N T,AX
sodomizez,start S OH,D
delirasem,start D EH L IH R AE,S
masturbata,start M AE S T,UW
lubrifiez,start L UW B R IH F IH,EH
ștefănescu,start SH T,EH
întăritei,start IX N T AX R IH T EH,Y
fundamentale,start F UW N D AE M EH N T AE L EH,stop
brazilian,start B R AE Z IH L IH,AE
sângerarăți,start S IX N JH EH R AE,R
mărturiseam,start M AX R T,UW
abandonarăm,start AE B AE N D OH N AE,R
devino,start D EH V IH N,OH
hibernase,start HH IH B EH R,N
omniprezentul,start OH M N IH P R EH Z EH N T,UW
erai,start,Y
acceleră,start AE K CH,EH
dezbrăca,start D EH Z B,R
protejaserăți,start P R OH T EH,ZH
amarilisului,start AE M AE R IH L IH S UW L,UW
atrocității,start AE T R OH T SH IH T AX,T
opritul,start OH P,R
funicular,start F UW N IH K,UW
anule,start AE N UW,L
aspirat,start,AE
orientați,start OH R IH EH,N
analiza,start AE N AE L IH Z AE,stop
lucrase,start L UW K R AE S,EH
repar,start R EH,P
specificitate,start S P EH CH IH F IH CH IH T AE T EH,stop
clarificam,start K L AE R IH F,IH
mărturisiră,start M AX R T UW R IH S,IH
orientat,start OH,R
funcționezi,start F UW N K IH OH,N
plictisească,start P L IH K T IH S Y,AE
cheio,start K EH Y,OH
sfârșiților,start S F IX R SH IH IH L OH,R
formaserăți,start F OH R M,AE
testosteron,start T EH S T OH S T EH,R
amsterdam,start,AE
sângerai,start S IX N JH EH,R
tunase,start T UW N AE S,EH
spovediserăți,start S P OH V EH D IH S EH R AX,T
clădiserăm,start K L AX,D
torturaserăm,start T OH R T UW R AE S,EH
macine,start,M
citirăm,start,T
nălucească,start N AX L,UW
întărești,start IX N T AX,R
reali,start R EH AE,L
folosit,start F,OH
sângerau,start S,IX
dușmănise,start D UW,SH
veștejeau,start V EH SH T EH ZH EH AE,UW
ceramica,start,CH
pregătiseși,start P R EH G AX T IH S,EH
condensat,start K OH,N
urez,start UW R,EH
abandonam,start,AE
perfectând,start P EH R F EH K T IX,N
analiza,start AE,N
mărturisiți,start M AX R T,UW
gravitaserăți,start G R AE V IH T AE S EH R AX T,S
mulțumeau,start M UW L UW M EH AE,W
mărturisitei,start M,AX
apropiase,start AE P R OH,P
călătorii,start K AX L AX T,OH
protejezi,start P R OH T EH ZH,EH
sfârșite,start S,F
călătoritele,start K AX L,AX
plictisitul,start,P
același,start,AE
confunde,start K,OH
zăpușită,start Z AX P UW SH IH,T
delimitat,start D EH,L
prietenește,start P R IH EH,T
puli,start P UW L,stop
egali,start EH,G
armăsarul,start AE R M AX S AE,R
gambe,start G,AE
zăpușeau,start Z AX P UW,SH
fiică,start F IH Y,K
călătoritului,start K AX L AX T OH R IH T UW,L
exprimat,start EH K S P R IH M AE,T
traducere,start T R,AE
dunărea,start D,UW
frecăm,start F R EH K,AX
șoptind,start SH OH P T IH,N
dejuge,start D EH ZH,UW
dincolo,start D IH N K,OH
ubicuul,start UW B IH K UW UW,L
grăbise,start G R,AX
urinasem,start UW R IH,N
crucificase,start K,R
funcționaseși,start F UW N K,IH
mizericordie,start M IH Z EH R IH K OH R D,IH
hiena,start HH IH EH N AE,stop
mizericordie,start M IH Z EH R IH K OH R D IH EH,stop
sodomizam,start S OH D OH M IH Z,AE
trebuie,start T R EH B UW Y EH,stop
abili,start AE,B
copleșitoarei,start K OH P L EH SH IH T OH AE R EH,Y
strigam,start S T R IH G,AE
deranjarăți,start D EH R AE N ZH AE R AX,T
asurziserăm,start AE S,UW
nălucești,start N AX L UW T SH,EH
organizam,start,OH
delira,start D EH L,IH
memorizai,start M EH M OH R IH Z,AE
șantajași,start SH AE N T AE ZH AE SH,stop
laboare,start L AE,B
moldovenește,start M OH L D OH V,EH
identitate,start IH D EH N T IH T,AE
plictisiserăți,start P L IH,K
figuri,start F IH G UW R,stop
spovediserăți,start S P OH V EH D IH S,EH
dicționarul,start D IH K,IH
numere,start N UW M,EH
computase,start K OH M P,UW
acasă,start,AE
motive,start M OH T IH,V
analizând,start,AE
veștejirăm,start V EH SH T EH,ZH
devin,start D EH V,IH
ubicua,start,UW
sufocai,start S,UW
omniprezentelor,start OH M N IH P R EH Z EH N T EH,L
primiserăm,start P R,IH
comit,start K OH M IH,T
tipe,start T IH P EH,stop
conteso,start K,OH
clădește,start K L AX D EH SH T EH,stop
sexy,start S EH K S,IH
mărturisii,start M AX R T,UW
capitulat,start K AE P IH T UW L,AE
invalidase,start IH N V AE L IH D AE S EH,stop
grăbeam,start G R AX B EH,AE
limitasem,start L IH,M
proclami,start P R OH K,L
șantajistelor,start SH AE N T AE ZH IH,S
saramură,start S AE R AE M UW R,AX
întâlnitei,start IX N,T
distrează,start D,IH
funcționa,start F,UW
plictisitului,start P L,IH
simpla,start S IH M P L,AE
asurzitele,start AE S UW R Z IH,T
fuseseră,start F UW S EH S EH,R
documentez,start D OH K UW M EH N T EH Z,stop
zăpușisem,start Z,AX
mărturisiră,start M AX R T,UW
sfârșirăm,start S F IX R SH,IH
cozi,start K OH Z,stop
năluceau,start N AX L UW T SH,EH
biofizică,start B IH OH F IH Z,IH
boemia,start B OH EH M,IH
băiețașul,start,B
cititului,start,CH
fereastră,start F EH R EH AE S,T
faptelor,start F AE P T EH L OH R,stop
simplificam,start,S
întăriților,start IX N T AX R IH,IH
inari,start IH N AE R,stop
lipsitelor,start L IH P S IH T EH L OH,R
fuseseră,start F,UW
delirurile,start D,EH
șantajez,start SH AE N T,AE
canadian,start K AE N AE D IH AE N,stop
minuscule,start M IH N UW S K UW L,EH
accelereze,start AE K CH EH L,EH
slovenii,start S L OH V EH N IH,Y
creaseși,start,K
masturba,start M AE S T UW R,B
învăța,start IX N,V
șopteai,start SH OH,P
borte,start B OH R T,EH
întristau,start IX N T R IH,S
înzestraserăm,start IX N Z EH S T R,AE
foso,start F OH S,OH
intervino,start IH N T EH R V IH N OH,stop
scrotalii,start S K R OH T,AE
deranjaserăm,start D EH R AE N,ZH
excavam,start EH K S K AE V AE M,stop
sângerați,start,S
veștejind,start V,EH
numitele,start N UW M IH T EH L,EH
exprimi,start EH K S P,R
înjurătură,start IX N ZH UW R AX T,UW
frigi,start F,R
iluzoriul,start,IH
juram,start ZH UW R AE,M
sprânceană,start S P R IX N,T
haita,start HH AE Y T AE,stop
lipsitul,start L IH P S IH T UW L,stop
întâlnind,start IX N T IX,L
majoritate,start,M
mediat,start M EH,D
sângerarăm,start S IX N JH EH R,AE
întâlniră,start IX N T IX L,N
șantajez,start SH AE N,T
câștig,start,K
fantezia,start F AE N T EH Z,IH
dușmănirăm,start D UW SH M AX N IH R,AX
mâncaseră,start M IX N,K
ascuns,start AE S K UW,N
necesitate,start N EH,CH
folosiserăți,start,F
circul,start CH,IH
folosii,start F OH L,OH
pornitelor,start P OH R N IH T EH,L
distrând,start,D
uși,start UW SH,stop
tatuajului,start,T
purificai,start P UW R,IH
frumusețile,start F R UW M UW S EH T S IH L,EH
necăjiți,start N EH K AX,ZH
fumezi,start F UW,M
brâncă,start B R IX N,K
mumu,start,M
explicație,start EH K S P L IH,K
alarmase,start AE L AE R M AE,S
spovedita,start S P OH V EH D IH T,AE
cioculescu,start T SH OH K UW L EH S K UW,stop
polonez,start P OH,L
tatuarăți,start T AE T UW,AE
urbanizai,start UW R B,AE
plictisiserăm,start P L IH K T IH S IH S EH,R
perturbat,start P EH R T UW R B,AE
boli,start,B
cenzurași,start CH EH,N
futusem,start F UW,T
turbam,start,T
umiditate,start UW M IH,D
citirăți,start T SH IH T IH,R
băiețelul,start B AX Y EH EH L UW,stop
zonelor,start Z OH,N
sexualului,start S EH K S UW AE,L
mărturiseam,start M AX R T UW R IH S,EH
introduc,start IH N,T
merite,start,M
tentează,start T EH N T EH,AE
decapitat,start D EH K AE P IH T AE T,stop
alteram,start AE L T EH R AE,M
tricot,start T R IH K,OH
oceania,start,OH
donație,start D OH N AE,IH
agent,start AE D ZH EH,N
demon,start D EH M OH N,stop
delirai,start D EH L IH R AE,Y
pădure,start P AX D UW DX EH,stop
fato,start F,AE
asurzești,start AE S,UW
estimai,start,EH
frago,start F,R
apetisant,start AE P EH T IH S AE N T,stop
insecta,start IH,N
pornograficelor,start P OH R N OH G R AE F IH CH,EH
focare,start,F
protejasem,start P R OH T,EH
plictisiților,start P L IH K T IH,S
misterioaselor,start M IH S T EH R IH OH AE S,EH
sorina,start S OH R IH N,AE
veștejisem,start,V
botanica,start B OH T AE N IH,K
mâncară,start,M
cerere,start CH,EH
genunchi,start D ZH EH N UW,N
scrotalul,start S K R OH T AE L UW L,stop
devino,start D EH V IH,N
fabricai,start F AE B R IH K,AE
harpist,start HH AE R P,IH
fantezii,start F,AE
abili,start AE B IH,L
masturbat,start M AE S T UW,R
imputase,start IH M P UW T AE S,EH
primiseși,start P R IH M IH,S
spovediții,start S P,OH
deranjezi,start,D
grăbisem,start G R AX B IH S,EH
sodomit,start S OH D OH M,IH
elemozină,start EH L EH M OH Z IH N,AX
abandonaserăți,start AE B AE N D OH N AE S EH R AX T,S
folositul,start F OH L OH,S
nălucita,start N AX,L
mărturisitele,start M AX R T UW R IH S IH T EH L EH,stop
familia,start,F
sfârșită,start S,F
opriserăm,start,OH
numitelor,start N UW M,IH
detune,start D EH,T
sodomizatelor,start S OH D OH M IH Z AE T EH L OH,R
numeați,start N,UW
fuseră,start F UW S EH R AX,stop
erai,start Y,EH
simionescu,start S IH M IH OH,N
fantoma,start F AE N T OH M AE,stop
găsiserăți,start G AX S IH,S
furtuna,start F,UW
efecte,start EH F EH,K
cuvântul,start K,UW
pregătiții,start P R EH G AX T IH IH,stop
pornografului,start P OH R N OH G R AE,F
sugea,start S UW JH EH,AE
dușmănirăm,start D UW SH M AX N IH,R
ignorase,start,IH
primirăți,start P R IH M IH,R
ardea,start AE R D,EH
alarmai,start,AE
răpește,start R AX,P
prezervative,start P R EH Z EH,R
sângeraseră,start,S
șantajelor,start SH,AE
orientaseși,start OH R IH EH,N
deranjaseră,start D EH R AE N ZH,AE
educ,start EH D UW,K
formam,start F OH R M,AE
pipi,start,P
rabat,start R AE B AE T,stop
așteptat,start AE SH T,EH
hamac,start HH,AE
secai,start S EH K AE,Y
spovediților,start S P OH V EH D IH IH L OH R,stop
funcționaserăți,start F UW N,K
îmbunătățiși,start IX M B UW N AX T AX T S IH SH,stop
grăbiserăți,start G R AX B IH S EH R AX T,S
granata,start G R AE N,AE
intimidai,start IH N T IH M IH,D
evlaviilor,start,EH
sodomiză,start S OH D OH M IH,Z
boram,start B OH R AE,M
distrară,start D IH S T R AE,R
regina,start R EH JH IH,N
misterioasele,start M,IH
penă,start P EH,N
șantajam,start SH AE N T,AE
desigur,start D EH,S
scrotalul,start S K R,OH
busola,start B UW S OH L AE,stop
jurai,start ZH,UW
deja,start D EH ZH AE,stop
picat,start P,IH
urbanizam,start UW R B AE,N
veninos,start V EH,N
numesc,start N UW M,EH
reginele,start R,EH
gândisem,start G IX N D IH,S
sodomizatele,start S OH D OH M IH Z AE,T
înzestrând,start IX N Z EH S,T
șantajarăți,start SH,AE
totalitate,start T OH T AE,L
pregăteau,start P,R
anulam,start AE N UW L,AE
reintroduci,start R EH IH N T R OH D UW,CH
delimitarăm,start D EH L IH M IH T,AE
fato,start,F
comparai,start K OH M P AE R AE,Y
abil,start AE,B
citești,start T SH IH,T
mumu,start M UW,M
juisez,start ZH UW IH S EH,Z
înzestraserăm,start IX N Z EH S T R AE S,EH
torturăm,start,T
țării,start AX R IH,stop
negociam,start N EH G OH CH IH AE,M
excavau,start EH K,S
primi,start,P
alinam,start AE L IH N AE,M
prietenul,start,P
orientaserăți,start OH R IH EH N T AE S EH R,AX
accelereze,start AE,K
expirase,start EH K S P IH R,AE
pupai,start,P
întâiul,start IX N T IX Y,UW
mulțumite,start M UW L UW M IH T EH,stop
viam,start,V
șantajistul,start SH,AE
atrocitățile,start AE T R OH CH IH T AX IH,L
doare,start D,OH
lingură,start L IH NG,G
substantive,start S UW B S T AE N T IH V,EH
clarificase,start,K
îmbunătățitelor,start IX M B UW N AX T AX IH T EH,L
monocrom,start M OH N OH K R,OH
coagulam,start,K
circulase,start CH IH R K UW L AE,S
omorî,start OH,M
intensificase,start IH N T EH N S,IH
abandonăm,start AE B AE N D OH N AX M,stop
masculinitate,start M AE S K UW L,IH
protejând,start P R OH T EH ZH IX,N
indignai,start,IH
slovenelor,start S L OH V EH N EH L OH R,stop
limitez,start L IH M IH T EH Z,stop
găsitul,start G AX S IH,T
avui,start AE V,UW
hămesi,start HH AX M EH S IH,stop
fracturai,start,F
decrete,start D EH K R,EH
ictere,start IH K T EH R,EH
masturbaserăți,start,M
rad,start R,AE
delirași,start D EH L IH R,AE
îmbunătățitele,start IX M,B
supsese,start S UW P S EH S,EH
fraza,start F R,AE
orientarăți,start OH R,IH
șantajarăm,start SH AE N T AE ZH,AE
îmbunătățești,start IX M B UW N AX T AX T S EH SH,T
abandonezi,start AE B AE,N
radicalizase,start R AE D IH,K
durat,start,D
lipsiră,start L IH P S IH R AX,stop
recuperase,start R EH,K
lipseau,start L IH,P
copiilor,start,K
impute,start IH,M
normalitate,start N OH R M AE,L
armăsar,start,AE
intensificam,start IH N T EH N S IH F,IH
ejaculau,start,EH
sodomizarăți,start S OH D OH M,IH
lovim,start,L
irațional,start IH R AE IH OH N AE L,stop
prieteni,start P R IH,EH
buna,start B,UW
orientaserăm,start,OH
găsi,start G AX S IH,stop
citeai,start T SH IH T Y AE,Y
gemui,start JH,EH
socializa,start S OH CH IH AE L IH,Z
nevăzut,start N,EH
frumuseților,start F R UW M UW,S
dictai,start D IH K T AE,Y
grăbii,start G R AX B,IH
determinai,start D EH T EH R M,IH
florii,start F L,OH
anormalitate,start AE N OH R M AE L IH T AE,T
sug,start,S
șapte,start SH,AE
ejaculați,start EH ZH AE K UW,L
asurzisem,start AE S UW R Z,IH
sălbatic,start S AX L,B
carto,start K,AE
simple,start S IH,M
viezure,start V Y EH Z UW,R
numitele,start N,UW
folositul,start F OH L OH S IH T,UW
militar,start S OH L D AE T,stop
vocală,start V OH K AE,L
lucrai,start L UW K R,AE
informase,start IH N F OH R M AE S EH,stop
analizaserăm,start AE N AE L IH Z AE S EH,R
multiplicase,start M UW L T IH P,L
nălucește,start N AX,L
lubrifiai,start L UW B,R
delimitaseși,start D EH L,IH
îmbunătățirăți,start IX M B UW N AX T AX T S IH R AX,T
minuscule,start M IH N UW S,K
delimitai,start D EH L IH M IH T AE,Y
asurziserăți,start AE S UW R Z IH S EH,R
formatul,start,F
rectificai,start R EH K T IH F IH K AE Y,stop
sfârșiseși,start S F IX,R
culturalizase,start K UW L,T
plictisise,start P L IH K T IH,S
somaserăm,start S OH M AE S EH R,AX
dușmăniții,start D UW SH,M
percepi,start P EH R CH EH P,stop
omniprezențele,start OH M N IH,P
exilez,start EH,G
trib,start T R IH B,stop
gladiolo,start,G
cenzurase,start CH EH N Z UW R AE,S
toarne,start T OH AE,R
folosim,start,F
pornograficelor,start P OH R N OH G R AE F,IH
slovenia,start S L OH V,EH
călătorești,start K AX L AX T OH R,EH
educat,start EH,D
suplicase,start S UW P L IH K AE,S
controlăm,start K OH N,T
suferi,start S UW F EH,R
șoptise,start SH,OH
tatuă,start T,AE
mulțumesc,start M,UW
indiscreție,start,IH
tocam,start T,OH
gândit,start G IX N D IH,T
dumnezeu,start D,UW
mulțumeați,start M UW,L
eliminase,start EH L IH M,IH
geană,start JH,EH
pasat,start,P
cercase,start CH EH,R
calmai,start,K
creez,start K R EH EH Z,stop
ventilez,start V EH N,T
congelam,start K OH N,JH
masturbaseși,start M AE S,T
infirmam,start IH N F IH R M AE M,stop
îmbunătățirăți,start IX M B UW N,AX
călătoare,start K AX L AX T OH AE,R
dezavantaja,start D EH Z AE V AE,N
apelor,start AE,P
sodomizași,start S OH,D
grăbim,start G R AX B,IH
bazam,start B AE Z,AE
reali,start,R
epocă,start EH P OH K,AX
iubesc,start Y UW B EH S,K
exprimam,start EH K S P,R
consideram,start K OH N S IH D EH R,AE
vergi,start V EH R,JH
funcționăm,start F UW N,K
dormitai,start D OH R M IH T AE Y,stop
feminitate,start F EH M IH N IH,T
înzestrând,start IX N Z EH S T R IX N,D
pornească,start,P
buza,start B UW,Z
deranjarăți,start D EH R AE N,ZH
caso,start K AE,S
întâlniții,start,IX
gemu,start,JH
copleși,start K OH P L EH SH,IH
hibo,start HH IH B OH,stop
găsesc,start G AX S EH,S
specificitate,start S P EH CH IH F IH CH IH T AE T,EH
simpli,start S IH M P L IH,stop
congelam,start K OH,N
prietenul,start P R IH EH,T
inovam,start,IH
răpitei,start R AX P IH T,EH
memorie,start M EH M OH R IH,EH
rectificam,start R EH K T IH F,IH
scrumierelor,start S K R,UW
sodomizatele,start S OH D,OH
comporta,start K OH M P OH R,T
împărăteasă,start IX M,P
tocam,start T OH K,AE
enigma,start EH,N
părintească,start P AX R IH N T,EH
dezechilibru,start D EH Z EH K IH L IH,B
îmbunătățitul,start IX M B UW N AX T AX,IH
zăpușească,start Z,AX
amarilișilor,start,AE
combinai,start K,OH
făcusem,start F AX K UW,S
pornite,start P OH R N IH,T
masturbă,start M AE S,T
creaserăm,start K R,EH
coardă,start K OH AE,R
canada,start K AE,N
ubicuitate,start UW B IH K UW IH T AE,T
școală,start SH K OH AE L AX,stop
vizibilitate,start V IH,Z
primitul,start P R IH M IH T UW,L
decid,start D EH CH,IH
futeau,start F UW,T
venerai,start V EH N,EH
excavând,start,EH
trotam,start,T
misterioase,start M IH S T EH R IH OH AE,S
clădită,start K L,AX
superi,start S,UW
lipsisem,start L IH,P
anim,start AE N IH M,stop
ion,start IH OH N,stop
porniseși,start P OH R N IH S EH,SH
urâți,start,UW
bilo,start B IH,L
compare,start K OH,M
activase,start AE K T IH,V
dezgusta,start,D
tentarăm,start T EH N T AE R AX M,stop
masturbatele,start M AE S T UW,R
deranjaserăți,start D EH R AE N ZH AE S,EH
înzestrez,start IX N Z EH S T,R
lipsit,start,L
îmbunătățise,start IX M B UW,N
formară,start F OH R M,AE
stimulai,start S T IH M UW,L
grenada,start G R EH N AE D,AE
scălda,start S K AX L D AE,stop
sfârșiți,start S F IX,R
șantajatelor,start SH,AE
distrai,start D IH S,T
dicționarelor,start D IH K IH OH N AE R EH L OH,R
eliminam,start EH L IH M IH N,AE
gute,start G,UW
expediat,start EH,K
înzestraseră,start IX N Z EH S T,R
apocaliptici,start AE P,OH
coapse,start K OH,AE
asurzitele,start AE S UW R Z IH T EH L EH,stop
sexologie,start S EH K S OH L OH D ZH IH EH,stop
masturbat,start,M
nălucită,start,N
sfârșitul,start S F IX R SH IH,T
controlez,start K OH N T R,OH
intervine,start IH N T EH R V IH N EH,stop
haiduc,start HH AE Y D,UW
fețele,start F EH T S EH,L
gândac,start G IX N D,AE
distrarăm,start D IH S T R AE R AX,M
cititul,start CH IH T IH T UW L,stop
veștejeau,start V EH SH,T
înzestrată,start IX N,Z
fotografii,start F OH T OH,G
rozi,start R OH Z,stop
manechinele,start M AE N EH K IH N EH L,EH
șantajiști,start SH AE N T AE ZH,IH
gândiseră,start G IX N D IH S EH R AX,stop
disputa,start,D
grăbești,start G R AX B EH SH T,stop
perfecteze,start P EH R F,EH
narcotizase,start N AE R K OH T IH Z AE S EH,stop
armăsarul,start AE R M AX S AE,R
substantive,start S UW,B
portabilitate,start P OH R,T
echidne,start EH K IH D N,EH
vagine,start V AE,JH
hidrogenam,start,HH
distrau,start,D
contez,start K,OH
întărirăm,start IX N T AX R IH R,AX
transforme,start T R,AE
pandora,start P AE N,D
întemeiat,start IX N,T
imprimai,start,IH
urat,start UW R AE,T
potabilitate,start P OH,T
esență,start EH S EH,N
iluzorie,start IH L UW Z OH R,IH
năluciră,start N AX L UW T SH IH,R
călătoritului,start K AX L AX T OH R,IH
dictatura,start D IH K T AE,T
insultat,start IH,N
sune,start S,UW
augmentai,start AE UW G M,EH
dușmăneam,start D UW,SH
cust,start,K
tatueze,start T AE T UW EH,Z
catalonia,start K AE T AE L,OH
îmbunătățiră,start,IX
bărbaților,start B AX,R
macedoneancă,start M AE CH EH D OH N EH AE N K AX,stop
zăpușește,start Z AX,P
marcai,start M AE,R
sângereze,start S IX N JH EH,R
coagulez,start,K
accelerezi,start AE K CH EH L,EH
prezervativ,start P R EH Z EH,R
masturbarăm,start M AE,S
capul,start,K
marcam,start M,AE
huse,start HH UW S,EH
asurzeau,start AE S UW,R
mărturisesc,start M,AX
deranjez,start,D
trabuc,start,T
drumuri,start D R UW M,UW
români,start R OH M IX N,stop
frumoaselor,start F R UW M OH AE,S
mulțumești,start M UW L UW M EH SH T,stop
pisase,start P IH S,AE
bulgărească,start B,UW
sexologie,start S EH K S OH,L
renovai,start R,EH
accelerând,start,AE
observat,start OH B S EH R V,AE
erogeni,start EH R,OH
veștejitului,start V EH SH T EH ZH IH T UW L,UW
torturaseși,start T OH R,T
conducem,start K OH N D UW CH EH M,stop
pornograficul,start P OH R N OH G R AE F,IH
apocaliptica,start AE P OH K AE L IH P T IH,K
găsirăți,start,G
armăsari,start AE R M AX,S
plictisiserăm,start P L IH,K
veștejitul,start V EH SH T,EH
narcotizase,start N AE,R
glume,start G,L
considere,start K OH N S IH,D
rectificat,start R EH K T IH,F
furai,start F UW R AE Y,stop
ejaculau,start EH ZH AE K UW,L
palme,start P,AE
celebrase,start CH EH L EH B R AE S,EH
cetățene,start CH EH T,AX
întăriseși,start IX N T AX R IH S,EH
întristași,start IX N T R IH S T,AE
șantajează,start SH,AE
diminuez,start D IH,M
pornit,start P OH R,N
injectam,start IH N ZH,EH
cenzurați,start CH,EH
pilotez,start P IH L OH T,AE
culminam,start K UW,L
tipe,start,T
intimidat,start IH,N
șurubelniță,start SH UW R UW B EH L N IH T S,AX
clădească,start K L AX D Y,AE
moscova,start M OH S,K
futuserăți,start F UW T,UW
boemia,start B OH EH,M
prietenii,start P,R
universitate,start UW N IH V EH R,S
glonte,start G L OH,N
gravitaserăm,start G,R
reduce,start R,UW
primiților,start P R IH M IH IH L,OH
discreție,start D IH S,K
invizibilitate,start IH N V IH Z,IH
pornografie,start P OH R N OH G R AE F IH,EH
opritul,start OH P R IH,T
pulsez,start P UW L S EH,Z
manechine,start M AE N EH K,IH
frumosul,start,F
grenade,start G,R
apocalipticii,start AE P OH K AE,L
simplificam,start S IH,M
inspirase,start,IH
căprioară,start K AX P R IH,OH
potabil,start P,OH
veștejită,start V,EH
grăbite,start G R,AX
renovase,start R EH N OH V AE S,EH
gânditelor,start G IX,N
protestam,start P R OH,T
limităm,start,L
gravitez,start G R AE V IH,T
laud,start L AE UW,D
urat,start UW R,AE
întâlnească,start IX N T IX,L
elogiu,start EH L OH,JH
limitând,start L IH M,IH
distrarăți,start,D
lipsește,start L IH P S EH SH T,EH
limitaserăm,start L IH M,IH
modificase,start M OH D IH,F
controlam,start K OH N T R OH L AE,M
futuții,start F,UW
portabilitate,start P OH R T AE B IH L IH T AE T EH,stop
frecau,start F R EH K AE,W
protestai,start,P
deliberat,start D EH L IH B EH R AE T,stop
copilul,start K OH P IH,L
abandonarăți,start AE B AE N D OH N AE R AX T,S
pregătind,start,P
gândeam,start G,IX
uram,start UW,R
delirat,start,D
esență,start EH S,EH
promis,start P R OH M IH S,stop
frec,start,F
exemplului,start EH G Z,EH
veche,start V,EH
grăbisem,start G R,AX
necăjească,start N EH K AX ZH EH AE S K AX,stop
căldare,start K AX L D,AE
ejaculase,start EH ZH AE K UW L AE S EH,stop
cartofi,start,K
reformez,start R EH F OH R M,EH
terminam,start T EH R M IH N AE,M
onestitate,start OH N EH S T IH T,AE
antarctica,start AE N T AE,R
năluciși,start N AX L UW T SH,IH
citita,start CH IH,T
mulțumea,start M UW L UW M EH AE,stop
coaste,start K OH AE S T,EH
contraveni,start OH N T R AE V EH N,IH
temem,start T EH M EH M,stop
răpiseși,start R AX P IH S,EH
admirai,start,AE
chestii,start K EH,S
vieții,start V Y EH T S IH,stop
futeau,start F UW T EH,AE
slovenul,start S L OH V EH N,UW
cerem,start CH EH R,EH
mulțumiseră,start M UW L UW,M
mint,start M IH N,T
pavăză,start P AE V AX,Z
fumați,start F,UW
întristezi,start IX,N
pisam,start P IH S,AE
saturam,start S AE T UW R AE,M
cremo,start K R EH M OH,stop
controleze,start K OH N T R OH,L
anulase,start,AE
asexualitate,start AE S EH K S UW AE L,IH
pasteurizase,start P,AE
șantajului,start,SH
frumoșii,start F R UW M OH SH,IH
numite,start,N
analizași,start AE N AE,L
idei,start IH D EH IH,stop
frecaseși,start F R EH K AE,S
veștejiră,start V EH SH T EH,ZH
fertilitate,start F EH R T IH L IH T AE T,EH
exprimai,start EH K S P R IH M,AE
excavează,start EH K S K AE V EH AE,Z
pregătiserăți,start P R EH G AX T IH S EH R AX T S,stop
analizez,start,AE
analizau,start AE,N
pornografica,start P OH R N OH G R AE,F
dezavantajos,start D EH Z AE V AE N T,AE
copilărește,start K OH P IH L AX R EH SH T,EH
orientezi,start OH R IH EH N,T
șantajatele,start SH AE N T AE ZH AE T EH,L
fixam,start F IH K S AE,M
picai,start P IH K,AE
cenzurară,start CH,EH
informatici,start IH N F OH R M AE T IH CH,stop
îmbunătățitei,start IX M B UW N AX T AX IH T EH Y,stop
custe,start K UW S,T
veneram,start V EH N,EH
pornitele,start P OH R N IH T EH L,EH
vorbiră,start,V
accelerăm,start,AE
citi,start T,SH
erotice,start EH,R
modificat,start M OH D IH F,IH
distrase,start D IH,S
ejaculam,start EH ZH AE K UW L AE M,stop
șantajul,start SH AE,N
tastatură,start T AE S T AE,T
apă,start AE P AX,stop
păianjenilor,start P AX Y AE N ZH EH,N
scrum,start S,K
formei,start F OH R M EH Y,stop
busola,start B UW S OH L,AE
delirași,start,D
spovedite,start S P OH V EH,D
distrași,start D IH S T R,AE
ubicuelor,start UW B IH K UW,EH
cina,start CH IH N,AE
vodcă,start,V
mulțumitului,start M UW,L
secere,start,S
detonai,start D,EH
ruinase,start R UW IH N AE S EH,stop
seducție,start S EH D UW K IH EH,stop
alte,start AE L,T
umana,start UW M,AE
gravitaserăm,start G R,AE
scrumierei,start,S
meritai,start M EH R,IH
complexitate,start K OH M P L EH K S IH,T
mărturisește,start M AX R T UW R IH,S
limitarăm,start L IH M IH T AE R AX,M
mărturisește,start M AX R T UW R IH S EH SH T EH,stop
creau,start K R,EH
perfectați,start P,EH
funcție,start,F
argumentat,start AE,R
lipsirăți,start,L
aceleiași,start AE CH EH L EH Y AE SH,stop
sfârșitelor,start S F IX R SH,IH
prietenul,start P R IH EH T,EH
perfectând,start P EH R,F
șoptitele,start SH OH P T IH,T
puteți,start P UW T,EH
scrotală,start S K R OH,T
cirac,start CH IH R AE K,stop
sexualul,start S EH K,S
gazelo,start G,AE
înzestra,start,IX
dorințelor,start D OH R IH,N
îmbunătățiseși,start IX M,B
cânt,start K IX,N
fumegai,start,F
călătorirăți,start K AX L AX T OH R IH R,AX
nud,start,N
drumuri,start D R UW,M
hieno,start HH IH EH N OH,stop
asurzește,start AE S UW R,Z
frecaseră,start F R EH K,AE
